City,Cloudiness,Country,Date,Humidity,Lat,Lan,Max_Temp,Wind_Speed
kamaishi,0,JP,1570998880,78,39.28,141.86,50.2,4.08
at-bashi,0,KG,1570998880,38,41.17,75.81,28.27,2.84
kijang,0,KR,1570998881,81,35.24,129.21,53.6,1.12
vardo,90,US,1570998881,33,39.62,-77.74,64.99,5.82
port blair,100,IN,1570998881,73,11.67,92.75,83.86,7.42
cabatuan,100,PH,1570998881,92,16.95,121.67,70.09,1.3
san carlos de bariloche,0,AR,1570998881,12,-41.13,-71.31,57.2,14.99
tomatlan,26,MX,1570998881,87,19.93,-105.25,83.66,5.23
wete,32,TZ,1570998882,80,-5.06,39.73,79.38,10.4
nantucket,1,US,1570998882,77,41.28,-70.1,64.4,4.7
havre-saint-pierre,90,CA,1570998882,71,50.23,-63.6,50,13.87
marcona,,,,,,,,
coihaique,0,CL,1570998882,22,-45.58,-72.07,59,5.82
cockburn town,40,TC,1570998882,78,21.46,-71.14,82.4,4.7
saleaula,,,,,,,,
pontianak,100,ID,1570998882,95,-0.02,109.34,74.37,1.39
itarema,84,BR,1570998883,71,-2.92,-39.92,78.31,14.02
coria,33,ES,1570998883,66,39.98,-6.54,62.01,8.41
hudson bay,91,CA,1570998883,65,52.86,-102.4,39.42,5.06
ginda,73,IN,1570998883,82,30.69,78.49,52.39,4.71
kalaiya,0,NP,1570998883,77,27.03,85,70.18,1.84
praya,40,ID,1570998884,88,-8.71,116.27,75.2,1.82
killam,97,CA,1570998884,55,52.79,-111.86,46.69,3.26
pangkalanbuun,100,ID,1570998884,86,-2.68,111.62,72.14,1.38
shingu,99,JP,1570998884,93,33.72,135.99,71.06,20.73
olafsvik,,,,,,,,
wahran,,,,,,,,
linxia,0,CN,1570998884,84,35.6,103.21,37.2,1.65
necochea,0,AR,1570998885,53,-38.55,-58.74,55.99,14
tessalit,69,ML,1570998885,16,20.2,1.01,94.57,10.43
bijie,100,CN,1570998885,97,27.3,105.3,54.9,4.97
kununurra,36,AU,1570998885,83,-15.77,128.74,71.6,3.28
umm kaddadah,100,SD,1570998885,74,13.6,26.69,75.4,15.59
puerto colombia,75,CO,1570998885,70,10.99,-74.96,89.6,8.05
lae,75,PG,1570998886,94,-6.72,146.98,71.6,5.82
kupang,44,ID,1570998886,55,-10.16,123.6,77.11,4.13
taltal,42,CL,1570998886,69,-25.41,-70.49,57.07,7.7
warwick,75,US,1570998886,45,41.7,-71.42,70,6.93
preobrazheniye,99,RU,1570998886,90,42.9,133.91,38.7,3.59
cherskiy,100,RU,1570998887,74,68.75,161.3,29.01,3.59
nongan,0,CN,1570998887,58,44.43,125.17,28.4,4.47
obo,95,CF,1570998887,96,5.39,26.49,67.78,3.87
kidal,0,ML,1570998887,16,18.44,1.41,93.06,10.48
naze,20,NG,1570998887,88,5.43,7.07,78.8,4.7
amderma,,,,,,,,
sisimiut,52,GL,1570998888,77,66.94,-53.67,23.77,3.78
oussouye,20,SN,1570998888,83,12.49,-16.54,80.6,2.24
beloha,0,MG,1570998888,74,-25.17,45.06,73.78,6.2
awjilah,59,LY,1570998888,30,29.14,21.3,81.21,10.11
jalu,59,LY,1570998888,30,29.03,21.55,81.21,10.11
umea,0,SE,1570998888,100,63.83,20.26,28.4,3.15
hilo,90,US,1570998889,66,19.71,-155.08,84.2,10.29
along,0,IN,1570998889,95,28.17,94.8,61.59,3.89
maebaru,45,JP,1570998889,87,33.55,130.2,61,1.12
talara,53,PE,1570998889,290,-4.58,-81.27,62.6,12.75
morros,88,BR,1570998889,70,-2.87,-44.04,84.2,13.87
mau,15,IN,1570998890,62,25.94,83.57,73.67,1.63
wuning,66,CN,1570998890,89,29.26,120.23,66.99,1.01
udachnyy,99,RU,1570998890,94,66.42,112.4,18.14,11.22
kholodnyy,100,RU,1570998890,99,62.72,147.95,-1.14,4.7
ostersund,0,SE,1570998890,90,63.18,14.64,37.4,3.36
san lorenzo,70,HN,1570998890,68,13.43,-87.45,84.43,4.63
santa maria,20,BR,1570998891,19,-16.02,-48.01,89.6,9.17
boat of garten,20,GB,1570998891,100,57.25,-3.76,46.99,1.12
bacong,100,PH,1570998891,74,6.14,124.31,78.35,3.23
ringe,100,NL,1570998891,82,52.6,6.92,64,19.46
dong hoi,100,VN,1570998891,88,17.48,106.6,73.47,4
vallenar,100,CL,1570998891,53,-28.58,-70.76,62.26,2.9
amapa,75,HN,1570998892,94,15.09,-87.97,86,3.36
suoyarvi,99,RU,1570998892,90,62.08,32.35,38.82,8.21
san patricio,67,PY,1570998892,40,-26.98,-56.83,91.56,4.37
brokopondo,40,SR,1570998892,88,5.06,-54.98,72,3.36
ibirama,22,BR,1570998892,1,-27.05,-49.52,86,1.82
margate,21,AU,1570998892,70,-43.03,147.26,48.2,10.29
sataua,,,,,,,,
lata,33,IN,1570998893,65,30.78,78.62,27.39,2.48
upernavik,0,GL,1570998893,46,72.79,-56.15,19.13,6.87
matara,8,BI,1570998893,82,-3.48,29.48,59.77,3.36
pimenta bueno,59,BR,1570998893,55,-11.68,-61.19,88.54,2.36
bafia,45,CM,1570998893,97,4.74,11.22,68.86,2.94
bahir dar,100,ET,1570998893,87,11.59,37.39,58.86,1.14
vila franca do campo,20,PT,1570998893,68,37.72,-25.43,66.2,11.41
paamiut,0,GL,1570998894,74,61.99,-49.67,32.85,19.81
villamontes,31,BO,1570998894,30,-21.26,-63.47,95.56,9.49
livramento,40,BR,1570998894,58,-3.03,-60.18,89.6,4.7
vaitupu,,,,,,,,
nueva gerona,41,CU,1570998894,77,21.88,-82.8,83.88,11.78
oxapampa,93,PE,1570998894,94,-10.58,-75.4,58.32,3.02
barahona,40,DO,1570998895,74,18.21,-71.1,86,20.8
marathon,90,CA,1570998895,100,48.72,-86.38,35.6,3.36
teguldet,100,RU,1570998895,83,57.31,88.17,40.91,3.78
lorengau,100,PG,1570998895,75,-2.02,147.27,82.53,13.07
mahanoro,0,MG,1570998895,77,-19.9,48.8,75.96,13.68
kuala terengganu,75,MY,1570998895,94,5.33,103.14,77,3.36
namibe,99,AO,1570998896,88,-15.19,12.15,71.06,3.68
kismayo,,,,,,,,
monteagudo,75,BO,1570998896,41,-19.8,-63.96,93.2,8.82
talnakh,100,RU,1570998896,96,69.49,88.39,25.63,8.84
hami,0,CN,1570998896,34,42.84,93.51,53.71,4.52
nyurba,100,RU,1570998896,81,63.29,118.35,24.6,6.8
labuhan,98,ID,1570998897,89,-2.54,115.51,73.35,2
noumea,75,NC,1570998897,60,-22.28,166.46,75.99,8.05
isangel,75,VU,1570998897,94,-19.55,169.27,75.2,3.76
grand river south east,,,,,,,,
jaguariaiva,80,BR,1570998897,48,-24.25,-49.71,87.01,5.99
hunza,,,,,,,,
westport,40,US,1570998897,52,41.14,-73.36,66.99,9.17
pontal do parana,20,BR,1570998898,27,-25.67,-48.51,89.6,6.93
kamenka,100,MD,1570998898,84,48.03,28.7,42.01,2.06
olinda,75,AU,1570998898,76,-37.84,145.39,57.99,4.7
atar,86,MR,1570998898,37,20.52,-13.05,87.89,5.82
embonas,,,,,,,,
ngunguru,100,NZ,1570998898,93,-35.62,174.5,57,17
portland,75,US,1570998898,63,43.66,-70.25,64.99,6.93
barcelos,86,BR,1570998899,73,-0.97,-62.93,84.38,1.95
sept-iles,75,CA,1570998899,66,50.2,-66.38,52,6.93
jizan,40,SA,1570998899,65,16.89,42.56,80.6,5.82
porto walter,79,BR,1570998899,40,-8.27,-72.74,91.67,1.95
okha,99,RU,1570998899,65,53.59,142.95,30.43,15.1
dunedin,76,NZ,1570998899,88,-45.87,170.5,51.01,17.82
oktyabrskoye,100,RU,1570998900,65,56.73,85.44,51.01,4.67
nioro,76,GM,1570998900,82,13.79,-15.05,77.59,11.2
verkhnetulomskiy,100,RU,1570998900,97,68.61,31.8,34.75,8.84
ewa beach,40,US,1570998900,78,21.32,-158.01,87.01,5.82
barra do garcas,75,BR,1570998900,34,-15.89,-52.26,96.8,13.87
segezha,100,RU,1570998901,93,63.74,34.31,39.16,10.39
tazmalt,20,DZ,1570998901,64,36.39,4.4,69.8,4.7
cedar city,1,US,1570998901,12,37.68,-113.06,66,21.92
saint anthony,1,US,1570998901,16,43.97,-111.68,61,4.7
caravelas,7,BR,1570998901,79,-17.73,-39.27,72.72,7.93
oranjemund,0,ZA,1570998902,74,-28.55,16.43,58.6,4.3
biak,26,ID,1570998902,78,-0.91,122.88,80.1,5.9
sorland,75,NO,1570998902,53,67.67,12.69,35.6,3.36
pisco,20,PE,1570998902,30,-13.71,-76.2,71.6,11.41
bowen,40,AU,1570998902,100,-20.01,148.25,70,2.24
broome,72,GB,1570998903,81,52.47,1.45,55.99,9.17
satitoa,,,,,,,,
hambantota,12,LK,1570998903,77,6.12,81.12,80.56,7.83
kavaratti,100,IN,1570998903,70,10.57,72.64,82.89,7.49
benjamin constant,86,BR,1570998903,58,-4.38,-70.03,91.4,6.93
gari,100,RU,1570998903,92,59.43,62.35,43.11,9.24
katima mulilo,0,NA,1570998904,37,-17.5,24.28,71.6,2.24
tual,19,ID,1570998904,81,-5.67,132.75,78.75,3.9
agadez,1,NE,1570998904,20,16.97,7.99,93.2,7.77
riacho de santana,100,BR,1570998904,18,-13.61,-42.94,96.8,5.82
aykhal,100,RU,1570998904,93,65.95,111.51,18.45,16.65
oskarshamn,90,SE,1570998904,100,57.26,16.44,53.01,5.82
cao bang,66,VN,1570998905,96,22.67,106.25,65.55,2.28
mattru,100,SL,1570998905,93,7.62,-11.83,74.86,2.52
cidreira,34,BR,1570998905,92,-30.17,-50.22,69.28,18.46
ambilobe,0,MG,1570998905,78,-13.19,49.05,73.38,8.94
abu dhabi,0,AE,1570998905,48,24.47,54.37,87.8,5.82
huarmey,98,PE,1570998906,69,-10.07,-78.15,64.44,8.71
gdansk,40,PL,1570998906,93,54.35,18.65,60.01,13.87
meadow lake,40,CA,1570998906,31,54.13,-108.44,50,4.7
chimoio,0,MZ,1570998906,88,-19.11,33.48,68,3.23
meulaboh,100,ID,1570998907,82,4.14,96.13,78.87,7.2
tefe,40,BR,1570998907,66,-3.35,-64.71,86,5.82
manado,20,ID,1570998907,100,1.49,124.85,73.4,1.7
bolungarvik,,,,,,,,
anadyr,75,RU,1570998907,83,64.73,177.51,37.4,31.32
abu zabad,100,SD,1570998907,75,12.35,29.25,76.23,4.55
mogadishu,74,SO,1570998908,86,2.04,45.34,79.95,11.43
sar-e pul,0,AF,1570998908,52,36.22,65.93,45.79,4.8
ukiah,1,US,1570998908,16,39.15,-123.21,78.01,5.26
sola,1,TZ,1570998908,59,-3.17,33.8,72.36,7.62
hailey,20,US,1570998908,22,43.52,-114.32,57.99,11.41
seoul,33,KR,1570998908,100,37.57,126.98,55.4,3.36
bonavista,100,CA,1570998909,83,48.65,-53.11,59,1.99
beringovskiy,100,RU,1570998909,95,63.05,179.32,37.78,34.41
malinovskiy,100,RU,1570998909,94,54.15,34.53,48.99,4.85
chiredzi,0,ZW,1570998909,35,-21.05,31.67,73.99,4.27
shakiso,91,ET,1570998910,97,5.77,38.9,56.19,2.04
kaitangata,100,NZ,1570998910,91,-46.28,169.85,49.01,19.93
novaya igirma,96,RU,1570998910,76,57.14,103.93,25.05,7.55
hede,100,SE,1570998910,100,60.45,15.49,39.99,2.4
genhe,0,CN,1570998910,66,50.78,121.52,15.85,4.08
college,90,US,1570998910,86,64.86,-147.8,28.99,3.36
omsukchan,79,RU,1570998911,93,62.53,155.8,-0.19,3.01
pierre,1,US,1570998911,45,44.37,-100.35,50,13.87
rochelle,90,US,1570998911,57,41.92,-89.07,55.4,11.41
ippy,69,CF,1570998911,94,6.26,21.2,70.14,1.59
palabuhanratu,,,,,,,,
semey,2,KZ,1570998911,46,50.41,80.25,49.53,7.55
maralal,100,KE,1570998912,76,1.1,36.7,64.49,11.64
chor,66,PK,1570998912,29,25.52,69.77,86.92,10.69
mbandaka,0,CD,1570998912,75,0.05,18.26,72.01,1.29
nueva concepcion,40,GT,1570998912,79,14.2,-91.3,89.6,9.17
pringsewu,100,ID,1570998912,98,-5.36,104.98,68.4,2.25
aklavik,90,CA,1570998912,92,68.22,-135.01,28.4,4.7
brumadinho,5,BR,1570998913,32,-20.14,-44.2,89.6,12.75
rawson,0,AR,1570998913,64,-43.3,-65.11,45.75,23.97
ulety,34,RU,1570998913,60,51.36,112.48,20.61,4.74
ribeira brava,20,PT,1570998913,63,32.65,-17.07,66.2,8.05
pagman,,,,,,,,
kahului,40,US,1570998914,65,20.89,-156.47,84.99,11.41
sumbawa,,,,,,,,
drayton valley,100,CA,1570998914,98,53.22,-114.98,36.09,7.45
honiara,40,SB,1570998914,88,-9.43,159.96,77,2.24
richards bay,83,ZA,1570998914,83,-28.77,32.06,69.46,17.86
vao,73,EE,1570998914,96,59.1,26.19,40.28,3.85
mankachar,9,IN,1570998914,92,25.53,89.87,70.39,4.09
